Type,Account #,URL,"Frequency [1, 2, 3]",Invoice date,Due date,Next payment,Days,Date Paid,State flag,Status [4],Current bill / Estimate,Annual Expenses,Monthly Expenses,Annual Revenue,Monthly Revenue
🏛️- Cukai Tanah,1439,https://www.ptgwp.gov.my/etanah-awam/EBayaranSemakBayarCukaiTanahForm.xhtml,Annually,01-01-26,31-05-26,Nope,-122,,-1,Good,68.00,68.00,5.67,,
💵 - Monthly income,,,Quarterly,01-10-25,31-10-25,Nope,-30,,-1,Good,"3,500.00",,,"42,000.00","3,500.00"
🏠 GIM condo,,,,,,,,,0,,,,,,
💸 - OCBC Monthly debt payment,7304,https://internet.ocbc.com.my/internet-banking/digital/web/my/cfo/login/login,Monthly,01-08-25,31-08-25,01-09-25,31,23-08-25,-1,Good,"2,700.00","32,400.00","2,700.00",,
"👨‍🔧 - Service charge, Sinking fund",,,,,,,,,,,,,,,
🏛️- Cukai Taksiran,9401,https://bsmart.mpbentong.gov.my/assessment-taxes/search,Semiannually,01-06-25,31-12-25,Nope,92,,0,Neutral,250.80,501.60,41.80,,
🏛️- Cukai Tanah,,https://fpxptg.pahang.gov.my/fpx/fpx_qrycukai.php?privasi=Y&daerah=12,Semiannually,,,,,,,,,,,,
💵 - GRR Quarterly income,,email:mo.gimgenting@gmail.com,Quarterly,01-08-25,31-08-25,01-12-25,31,07-08-25,-1,Good,,,,"36,800.00","3,066.67"
"🏠 Unit at Blok 4 226, Lebuh Batu Maung  8, 11960",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
💸 Total unit expenses,,,,,,,,,,,,"-96,596.36","-8,049.70",,
📒 Total revenue,,,,,,,,,,,,,,"111,950.00","9,329.17"
📒 Annual/Monthly income,,,,,,,,,,,,,,"15,353.64","1,279.47"
Today,01-09-25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"[1] Quaterly payment sequence January, April, July, and October",,,,,,,,,,,,,,,
"[2] Recommended day of the month, semiannual, or quarterly",,,,,,,,,,,,,,,
"[3] Semiannually, the typical payment date is during the first half and the second half",,,,,,,,,,,,,,,
"[4] The hidden column ""K""  indicates flag -1, 0, or 1, for brevity, next to the narrow column indicates Good, Neutral, or Bad",,,,,,,,,,,,,,,
